Date,AAPL,AMZN,GOOGL,FB,NFLX,Total
11/16/2017,883771,548028,728466,521529,84603.2,2766397.2
10/31/2017,873130,532604,717746,522894,85001.3,2731375.3
9/30/2017,796065,463248,676531,496206,78475.8,2510525.8
8/31/2017,855070,471060,661864,498713,75431,2562138
7/31/2017,775454,474509,655115,490825,78431.7,2474334.7
6/30/2017,750897,465007,644154,437842,64507.8,2362407.8
5/31/2017,801461,475404,683173,438174,70283.8,2468495.8
4/30/2017,753665,442122,639868,434673,65598.8,2335926.8
3/31/2017,753718,423744,586769,410951,63706.7,2238888.7
2/28/2017,720268,401535,584094,391168,60994.4,2158059.4
1/31/2017,638036,391291,566992,376104,60385,2032808
12/31/2016,608960,356313,547815,332034,53128.2,1898250.2
11/30/2016,595531,355826,534687,340458,50210,1876712
10/31/2016,611804,374433,558131,376596,53587.3,1974551.3
9/30/2016,609164,396947,554107,368776,42292.2,1971286.2
8/31/2016,571714,364639,542452,360955,41779.3,1881539.3
7/31/2016,561530,359732,543475,354716,39121.2,1858574.2
6/30/2016,515135,339257,483169,327069,39219.8,1703849.8
5/31/2016,547078,340861,514304,338609,43929.6,1784781.6
4/30/2016,513550,311057,486166,335103,38558.9,1684434.9
3/31/2016,597096,279955,523954,325185,43784,1769974
2/29/2016,536096,259000,492980,303011,39922.3,1631009.3
1/31/2016,539700,275163,523312,318003,39251.3,1695429.3
12/31/2015,583613,316832,534764,296606,48884.6,1780699.6
11/30/2015,674632,311633,524631,293331,52709.8,1856936.8
10/31/2015,681475,293398,507122,286944,46320.3,1815259.3
9/30/2015,629010,239955,439023,252979,44132.1,1605099.1
8/31/2015,643039,239884,444074,250404,48814.2,1626215.2
7/31/2015,691740,250763,450710,263228,48508.7,1704949.7
6/30/2015,715264,203028,370192,240142,39825.7,1568451.7
5/31/2015,764243,199884,372088,220861,37832.4,1594908.4
4/30/2015,734150,196415,374442,219690,33736.7,1558433.7
3/31/2015,729926,173280,378488,229298,25261,1536253
2/28/2015,748247,176016,382685,219458,28692.2,1555098.2
1/31/2015,682428,164150,365626,210954,26691.8,1449849.8
12/31/2014,642936,143694,360940,216818,20638.7,1385026.7
11/30/2014,697505,156792,372477,201709,20880.7,1449363.7
10/31/2014,633403,141430,385223,194674,23662.8,1378392.8
9/30/2014,590883,149292,399157,205188,27181.8,1371701.8
8/31/2014,613756,156015,393620,191913,28633.6,1383937.6
7/31/2014,572440,144028,391721,186347,25341.2,1319877.2
6/30/2014,556453,149453,395181,172599,26413.1,1300099.1
5/31/2014,545284,143543,385574,161605,24989.2,1260995.2
4/30/2014,508320,139676,360773,152618,19260.2,1180647.2
3/31/2014,462363,154481,375865,153793,21053.9,1167555.9
2/28/2014,469696,165745,409974,173546,26407.1,1245368.1
1/31/2014,446811,164185,398278,158615,24256.1,1192145.1
12/31/2013,500739,182540,377956,138535,21817,1221587
11/30/2013,505188,179839,352866,114704,21553.7,1174150.7
10/31/2013,474873,166319,343205,122500,19001.2,1125898.2
9/30/2013,433126,142840,291696,122561,18219.3,1008442.3
8/31/2013,457325,127914,280973,99766.3,15940.4,981918.7
7/31/2013,424767,137128,294525,88908.8,13726.8,959055.6
6/30/2013,372203,126416,292077,60110.1,11851.9,862658
5/31/2013,422327,122365,287208,58289.1,12668.4,902857.5
4/30/2013,415796,115370,271830,66479,12098.4,881573.4
3/31/2013,415683,121133,261814,61238.5,10598.4,870466.9
2/28/2013,414395,119703,263270,64282.8,10447.1,872097.9
1/31/2013,427623,120261,248315,73084.2,9178.4,878461.6
12/31/2012,499614,113634,232441,62796.6,5143,913628.6
11/30/2012,548645,113943,228390,59986.3,4537.7,955502
10/31/2012,558057,105283,222480,45225.4,4400.5,935445.9
9/30/2012,625348,114969,246746,46403.7,3023.3,1036490
8/31/2012,622041,111852,223343,38609.5,3315.4,999160.9
7/31/2012,571099,105108,206352,46417.7,3156.1,932132.8
6/30/2012,546076,102878,189106,66483.6,3802,908345.6
5/31/2012,538658,96888.5,188859,,3515.8,827921.3
4/30/2012,544485,105530,196659,,4441.3,851115.3
3/31/2012,559002,92155.8,208491,,6375.4,866024.2
2/29/2012,504149,81714.8,200244,,6130.1,792237.9
1/31/2012,424257,88422.4,187891,,6654.4,707224.8
12/31/2011,376411,78717.9,209199,,3836,668163.9
11/30/2011,354334,87287.2,193536,,3390.1,638547.3
10/31/2011,375268,96919.7,191356,,4312.2,667855.9
9/30/2011,353518,98154.4,166300,,5950.8,623923.2
8/31/2011,355874,97293.2,174325,,12335.9,639828.1
7/31/2011,361098,100589,194540,,13962.1,670189.1
6/30/2011,310413,92438.3,163181,,13788.9,579821.2
5/31/2011,320448,88708,170092,,14322.9,593570.9
4/30/2011,322567,88311.1,174940,,12306.1,598124.2
3/31/2011,321073,81239.4,188656,,12576.4,603544.8
2/28/2011,324002,77779,196150,,10800,608731
1/31/2011,311261,76140.7,191980,,11187.2,590568.9
12/31/2010,295887,80790.7,189937,,9181.6,575796.3
11/30/2010,284255,78548.5,177108,,10780.5,550692
10/31/2010,274964,73994.1,195590,,9087.8,553635.9
9/30/2010,259223,70335.4,167572,,8490.4,505620.8
8/31/2010,221206,55633.2,143096,,6559.9,426495.1
7/31/2010,234082,52540.3,154172,,5359.5,446153.8
6/30/2010,228877,48694.1,141484,,5678.3,424733.4
5/31/2010,232938,55772.7,154420,,5950.2,449080.9
4/30/2010,236755,60947.3,167159,,5294.4,470155.7
3/31/2010,213097,60356,180332,,3947.5,457732.5
2/28/2010,185253,51265.2,167137,,3609.2,407264.4
1/31/2010,173884,54300.4,168135,,3401.5,399720.9
12/31/2009,190786,58244.9,196700,,3010.3,448741.2
11/30/2009,179083,58686.9,184561,,3366.3,425697.2
10/31/2009,168862,51303,169720,,3068.9,392953.9
9/30/2009,166040,40313.5,156972,,2650.9,365976.4
8/31/2009,150062,34883.1,145860,,2517.4,333322.5
7/31/2009,145762,36846.6,139977,,2535.3,325120.9
6/30/2009,127063,35944.4,133197,,2385.2,298589.6
5/31/2009,120946,33425.2,131550,,2313.3,288234.5
4/30/2009,112058,34509.5,124847,,2659,274073.5
3/31/2009,93615,31475.1,109741,,2518.7,237349.8
2/28/2009,79390.8,27784,106384,,2126.2,215685
1/31/2009,80119.7,25223.9,106554,,2120.3,214017.9
12/31/2008,75870.6,21990.5,96834.1,,1753.6,196448.8
11/30/2008,82094.1,18186.8,92120.1,,1398.7,193799.7
10/31/2008,95311.4,24379.7,112999,,1507.1,234197.2
9/30/2008,100689,30990,125942,,1879.6,259500.6
8/31/2008,149462,33752.7,145516,,1902.5,330633.2
7/31/2008,140134,31885.7,148802,,1905.5,322727.2
6/30/2008,147619,30628.5,165345,,1608.2,345200.7
5/31/2008,165888,34020.7,183577,,1857.7,385343.4
4/30/2008,152880,32774.4,179970,,1956.9,367581.3
3/31/2008,126119,29719.1,138034,,2120.2,295992.3
2/29/2008,109460,26766.5,147404,,2077.2,285707.7
1/31/2008,118513,32259.3,176536,,1654.3,328962.6
12/31/2007,173427,38462,216323,,1751,429963
11/30/2007,158466,37437.4,216310,,1554,413767.4
10/31/2007,165188,36854.5,220679,,1780.7,424502.2
9/30/2007,133464,38508.1,177065,,1395.9,350433
8/31/2007,119778,32739,160525,,1195.9,314237.9
7/31/2007,113966,32177.7,158889,,1176.1,306208.8
